DSL Id,Current RCA Value,Primary IP,DSL ID:RCA:IP,HUB,Circle
073128519491_dsl,VTA-U-40960-1024-NA-1120-E,182.70.241.244,073128519491_dsl:VTA-U-40960-1024-NA-1120-E:182.70.241.244,West,MP
07554281213_dsl,VTA-U-1024000-1024-NA-1500-R,182.70.241.190,07554281213_dsl:VTA-U-1024000-1024-NA-1500-R:182.70.241.190,West,MP
07555273206,VTA-U-24576-1024-NA-718-R,182.70.241.144,07555273206:VTA-U-24576-1024-NA-718-R:182.70.241.144,West,MP
07314002952_dsl,VTA-U-409600-1024-NA-1260-R,182.70.241.130,07314002952_dsl:VTA-U-409600-1024-NA-1260-R:182.70.241.130,West,MP
075510955097_mp,VTA-U-163841-1024-NA-1165-E,182.70.241.111,075510955097_mp:VTA-U-163841-1024-NA-1165-E:182.70.241.111,West,MP
073113520503_dsl,VTA-U-409600-1024-NA-1056-R,182.70.240.78,073113520503_dsl:VTA-U-409600-1024-NA-1056-R:182.70.240.78,West,MP
07315065245_mp,VTA-U-20480-1024-NA-573-R,182.70.240.74,07315065245_mp:VTA-U-20480-1024-NA-573-R:182.70.240.74,West,MP
07314091754_dsl,VTA-U-81922-1024-NA-1250-R,182.70.240.66,07314091754_dsl:VTA-U-81922-1024-NA-1250-R:182.70.240.66,West,MP
07314065561_mp,VTA-U-40960-1024-NA-700-R,182.70.240.58,07314065561_mp:VTA-U-40960-1024-NA-700-R:182.70.240.58,West,MP
mpi3008846_dsl,VTA-U-409600-1024-NA-1500-R,182.70.240.42,mpi3008846_dsl:VTA-U-409600-1024-NA-1500-R:182.70.240.42,West,MP
07314049357_mp,VTA-U-163841-1024-NA-550-E,182.70.240.203,07314049357_mp:VTA-U-163841-1024-NA-550-E:182.70.240.203,West,MP
07752946578_dsl,,182.70.240.200,07752946578_dsl::182.70.240.200,West,MP
07314257044_mp,VTA-U-409600-1024-NA-100-R,182.70.240.194,07314257044_mp:VTA-U-409600-1024-NA-100-R:182.70.240.194,West,MP
07314064706_mp,VTA-U-24576-1024-NA-1200-E,182.70.240.172,07314064706_mp:VTA-U-24576-1024-NA-1200-E:182.70.240.172,West,MP
07314066026_dsl,VTA-U-163841-1024-NA-636-R,182.70.240.155,07314066026_dsl:VTA-U-163841-1024-NA-636-R:182.70.240.155,West,MP
07314053148_dsl,VTA-U-163841-1024-NA-100-E,182.70.240.128,07314053148_dsl:VTA-U-163841-1024-NA-100-E:182.70.240.128,West,MP
07314070350_dsl,VTA-U-409600-1024-NA-532-R,182.70.240.120,07314070350_dsl:VTA-U-409600-1024-NA-532-R:182.70.240.120,West,MP
07964554495_mh,VTA-U-409600-1024-NA-3333-R,182.70.114.21,07964554495_mh:VTA-U-409600-1024-NA-3333-R:182.70.114.21,West,Gujarat
052232700805_dsl,VTA-U-409600-1024-NA-1157-E,182.69.119.71,052232700805_dsl:VTA-U-409600-1024-NA-1157-E:182.69.119.71,North,UP East
052232416200_dsl,VTA-U-24576-1024-NA-857-E,182.69.119.59,052232416200_dsl:VTA-U-24576-1024-NA-857-E:182.69.119.59,North,UP East
052230997046_dsl,VTA-U-409600-1024-NA-200-R,182.69.119.186,052230997046_dsl:VTA-U-409600-1024-NA-200-R:182.69.119.186,North,UP East
01244309785_dsl,VTA-U-409600-1024-NA-513-R,125.23.220.82,01244309785_dsl:VTA-U-409600-1024-NA-513-R:125.23.220.82,North,Haryana
012038224472_dsl,VTA-U-409600-1024-NA-1025-E,125.23.220.250,012038224472_dsl:VTA-U-409600-1024-NA-1025-E:125.23.220.250,North,U.P West
01192585327_dsl,VTA-U-163841-1024-NA-1020-R,125.23.220.191,01192585327_dsl:VTA-U-163841-1024-NA-1020-R:125.23.220.191,North,Delhi
01294044094_dsl,VTA-U-24576-1024-NA-307-R,125.23.220.178,01294044094_dsl:VTA-U-24576-1024-NA-307-R:125.23.220.178,North,Haryana
01192489012_dsl,VTA-U-409600-1024-NA-1044-R,125.23.220.137,01192489012_dsl:VTA-U-409600-1024-NA-1044-R:125.23.220.137,North,Delhi
01246475769_dsl,VTA-U-409600-1024-NA-278-R,125.23.220.130,01246475769_dsl:VTA-U-409600-1024-NA-278-R:125.23.220.130,North,Haryana
01140504800_dsl,VTA-U-409600-1024-NA-1053-R,122.180.87.138,01140504800_dsl:VTA-U-409600-1024-NA-1053-R:122.180.87.138,North,Delhi
012425929889_dsl,VTA-U-409600-1024-NA-1099-E,122.180.86.88,012425929889_dsl:VTA-U-409600-1024-NA-1099-E:122.180.86.88,North,Haryana
012040833446_dsl,VTA-U-409600-1024-NA-579-R,122.180.86.83,012040833446_dsl:VTA-U-409600-1024-NA-579-R:122.180.86.83,North,U.P West
012039585876_dsl,VTA-U-81922-1024-NA-743-E,122.180.86.7,012039585876_dsl:VTA-U-81922-1024-NA-743-E:122.180.86.7,North,U.P West
01143025577_dsl,VTA-U-409600-1024-NA-898-R,122.180.86.33,01143025577_dsl:VTA-U-409600-1024-NA-898-R:122.180.86.33,North,Delhi
012438179110_dsl,VTA-U-24576-1024-NA-608-R,122.180.86.133,012438179110_dsl:VTA-U-24576-1024-NA-608-R:122.180.86.133,North,Haryana
012038130688_dsl,VTA-U-409600-1024-NA-689-R,122.180.86.130,012038130688_dsl:VTA-U-409600-1024-NA-689-R:122.180.86.130,North,U.P West
01146065730_dsl,VTA-U-409600-1024-NA-262-R,122.180.84.232,01146065730_dsl:VTA-U-409600-1024-NA-262-R:122.180.84.232,North,Delhi
016139990623_dsl,VTA-U-163841-1024-NA-368-R,122.180.31.25,016139990623_dsl:VTA-U-163841-1024-NA-368-R:122.180.31.25,North,Punjab
018140009689_dsl,VTA-U-24576-1024-NA-247-R,122.180.31.18,018140009689_dsl:VTA-U-24576-1024-NA-247-R:122.180.31.18,North,Punjab
017236434536_dsl,VTA-U-409600-1024-NA-538-R,122.180.29.142,017236434536_dsl:VTA-U-409600-1024-NA-538-R:122.180.29.142,North,Punjab
01145549334_dsl,VTA-U-409600-1024-NA-731-R,122.180.252.71,01145549334_dsl:VTA-U-409600-1024-NA-731-R:122.180.252.71,North,Delhi
01160174063_dsl,VTA-U-409600-1024-NA-629-R,122.180.252.192,01160174063_dsl:VTA-U-409600-1024-NA-629-R:122.180.252.192,North,Delhi
012018023502_dsl,VTA-U-163841-1024-NA-573-R,122.180.252.101,012018023502_dsl:VTA-U-163841-1024-NA-573-R:122.180.252.101,North,U.P West
01160433571_dsl,,122.180.251.4,01160433571_dsl::122.180.251.4,North,Delhi
01147057362_dsl,VTA-U-409600-1024-NA-892-R,122.180.251.232,01147057362_dsl:VTA-U-409600-1024-NA-892-R:122.180.251.232,North,Delhi
01146548079_dsl,VTA-U-163841-1024-NA-805-R,122.180.250.37,01146548079_dsl:VTA-U-163841-1024-NA-805-R:122.180.250.37,North,Delhi
01145515623_dsl,VTA-U-409600-1024-NA-843-R,122.180.250.145,01145515623_dsl:VTA-U-409600-1024-NA-843-R:122.180.250.145,North,Delhi
01244200568_dsl,VTA-U-163841-1024-NA-782-R,122.180.249.215,01244200568_dsl:VTA-U-163841-1024-NA-782-R:122.180.249.215,North,Haryana
012422753819_dsl,VTA-U-24576-1024-NA-308-R,122.180.249.116,012422753819_dsl:VTA-U-24576-1024-NA-308-R:122.180.249.116,North,Haryana
01244043884_dsl,VTA-U-20480-1024-NA-1050-R,122.180.249.110,01244043884_dsl:VTA-U-20480-1024-NA-1050-R:122.180.249.110,North,Haryana
01147042838_dsl,VTA-U-409600-1024-NA-199-R,122.180.248.36,01147042838_dsl:VTA-U-409600-1024-NA-199-R:122.180.248.36,North,Delhi
01143565304_dsl,VTA-U-409600-1024-NA-835-R,122.180.246.92,01143565304_dsl:VTA-U-409600-1024-NA-835-R:122.180.246.92,North,Delhi
01147023873_dsl,VTA-U-409600-1024-NA-778-R,122.180.246.72,01147023873_dsl:VTA-U-409600-1024-NA-778-R:122.180.246.72,North,Delhi
01145575292_dsl,VTA-U-163841-1024-NA-1111-R,122.180.246.252,01145575292_dsl:VTA-U-163841-1024-NA-1111-R:122.180.246.252,North,Delhi
01145563602_dsl,VTA-U-409600-1024-NA-669-R,122.180.246.248,01145563602_dsl:VTA-U-409600-1024-NA-669-R:122.180.246.248,North,Delhi
01151624492,VTA-U-1024000-1024-NA-1267-R,122.180.246.209,01151624492:VTA-U-1024000-1024-NA-1267-R:122.180.246.209,North,Delhi
01146523991_dsl,VTA-U-409600-1024-NA-464-R,122.180.246.208,01146523991_dsl:VTA-U-409600-1024-NA-464-R:122.180.246.208,North,Delhi
056211688094_dsl,VTA-U-409600-1024-NA-1042-R,122.180.246.174,056211688094_dsl:VTA-U-409600-1024-NA-1042-R:122.180.246.174,North,North - UP West
01145515866_dsl,VTA-U-24576-1024-NA-273-R,122.180.246.133,01145515866_dsl:VTA-U-24576-1024-NA-273-R:122.180.246.133,North,Delhi
01294079227_dsl,VTA-U-409600-1024-NA-731-R,122.180.245.96,01294079227_dsl:VTA-U-409600-1024-NA-731-R:122.180.245.96,North,Haryana
01244102509_dsl,VTA-U-20480-1024-NA-1090-R,122.180.245.175,01244102509_dsl:VTA-U-20480-1024-NA-1090-R:122.180.245.175,North,Haryana
01147095746_dsl,VTA-U-40960-1024-NA-463-R,122.180.244.5,01147095746_dsl:VTA-U-40960-1024-NA-463-R:122.180.244.5,North,Delhi
01146080657_dsl,VTA-U-24576-1024-NA-435-R,122.180.244.220,01146080657_dsl:VTA-U-24576-1024-NA-435-R:122.180.244.220,North,Delhi
01145543800_dsl,VTA-U-163841-1024-NA-923-R,122.180.244.153,01145543800_dsl:VTA-U-163841-1024-NA-923-R:122.180.244.153,North,Delhi
01180472012_dsl,VTA-U-409600-1024-NA-1580-R,122.180.244.14,01180472012_dsl:VTA-U-409600-1024-NA-1580-R:122.180.244.14,North,Haryana
01146081603_dsl,VTA-U-81922-1024-NA-794-R,122.180.244.108,01146081603_dsl:VTA-U-81922-1024-NA-794-R:122.180.244.108,North,Delhi
01145033162_dsl,VTA-U-24576-1024-NA-266-R,122.180.243.78,01145033162_dsl:VTA-U-24576-1024-NA-266-R:122.180.243.78,North,Delhi
01143012570_dsl,VTA-U-409600-1024-NA-881-R,122.180.243.240,01143012570_dsl:VTA-U-409600-1024-NA-881-R:122.180.243.240,North,Delhi
01145586929_dsl,VTA-U-24576-1024-NA-1310-R,122.180.243.149,01145586929_dsl:VTA-U-24576-1024-NA-1310-R:122.180.243.149,North,Haryana
01204151889_dsl,VTA-U-409600-1024-NA-735-R,122.180.242.241,01204151889_dsl:VTA-U-409600-1024-NA-735-R:122.180.242.241,North,U.P West
012013699653_dsl,VTA-U-1024000-1024-NA-300-R,122.180.242.157,012013699653_dsl:VTA-U-1024000-1024-NA-300-R:122.180.242.157,North,U.P West
01145572852_dsl,VTA-U-81922-1024-NA-670-E,122.180.241.94,01145572852_dsl:VTA-U-81922-1024-NA-670-E:122.180.241.94,North,Delhi
01141662191_dsl,VTA-U-409600-1024-NA-532-R,122.180.241.40,01141662191_dsl:VTA-U-409600-1024-NA-532-R:122.180.241.40,North,Delhi
01151035200_dsl,VTA-U-163841-1024-NA-894-R,122.180.241.245,01151035200_dsl:VTA-U-163841-1024-NA-894-R:122.180.241.245,North,Haryana
01147563477_dsl,VTA-U-24576-1024-NA-669-R,122.180.241.183,01147563477_dsl:VTA-U-24576-1024-NA-669-R:122.180.241.183,North,Delhi
01147353844_dsl,VTA-U-409600-1024-NA-1250-R,122.180.241.12,01147353844_dsl:VTA-U-409600-1024-NA-1250-R:122.180.241.12,North,Delhi
014127061345_dsl,VTA-U-1024000-1024-NA-3333-R,122.180.240.188,014127061345_dsl:VTA-U-1024000-1024-NA-3333-R:122.180.240.188,North,Rajasthan
016138139096_dsl,VTA-U-40960-1024-NA-576-R,122.180.20.176,016138139096_dsl:VTA-U-40960-1024-NA-576-R:122.180.20.176,North,Punjab
017256160813_dsl,VTA-U-409600-1024-NA-1186-R,122.180.20.139,017256160813_dsl:VTA-U-409600-1024-NA-1186-R:122.180.20.139,North,Punjab
016138187991_dsl,VTA-U-163841-512-NA-170-R,122.180.20.115,016138187991_dsl:VTA-U-163841-512-NA-170-R:122.180.20.115,North,Punjab
01244017839_dsl,VTA-U-20480-1024-NA-590-R,122.180.154.70,01244017839_dsl:VTA-U-20480-1024-NA-590-R:122.180.154.70,North,Haryana
01295003139,VTA-U-163841-1024-NA-1140-R,122.180.154.54,01295003139:VTA-U-163841-1024-NA-1140-R:122.180.154.54,North,Haryana
012412518672_dsl,VTA-U-409600-1024-NA-569-R,122.180.154.203,012412518672_dsl:VTA-U-409600-1024-NA-569-R:122.180.154.203,North,Haryana
01151829123_dsl,VTA-U-409600-1024-NA-811-R,122.180.145.208,01151829123_dsl:VTA-U-409600-1024-NA-811-R:122.180.145.208,North,Delhi
01146557175_dsl,VTA-U-163841-1024-NA-697-R,122.180.145.197,01146557175_dsl:VTA-U-163841-1024-NA-697-R:122.180.145.197,North,Delhi
01146594898_dsl,VTA-U-20480-1024-NA-992-E,122.180.145.155,01146594898_dsl:VTA-U-20480-1024-NA-992-E:122.180.145.155,North,Delhi
01146011897_dsl,VTA-U-24576-1024-NA-1041-R,122.180.144.30,01146011897_dsl:VTA-U-24576-1024-NA-1041-R:122.180.144.30,North,Haryana
01160196572_dsl,VTA-U-24576-1024-NA-415-R,122.180.144.198,01160196572_dsl:VTA-U-24576-1024-NA-415-R:122.180.144.198,North,Delhi
01145515754_dsl,VTA-U-24576-1024-NA-1022-R,122.180.144.161,01145515754_dsl:VTA-U-24576-1024-NA-1022-R:122.180.144.161,North,Delhi
01140511996_dsl,VTA-U-409600-1024-NA-759-E,122.180.144.136,01140511996_dsl:VTA-U-409600-1024-NA-759-E:122.180.144.136,North,Delhi
01146591125_dsl,VTA-U-409600-1024-NA-1018-E,122.180.144.102,01146591125_dsl:VTA-U-409600-1024-NA-1018-E:122.180.144.102,North,Delhi
02295234467_mh,VTA-U-1024000-1024-NA-615-R,122.179.159.207,02295234467_mh:VTA-U-1024000-1024-NA-615-R:122.179.159.207,West,Mumbai
02294668948_mh,VTA-U-409600-1024-NA-576-R,122.179.158.23,02294668948_mh:VTA-U-409600-1024-NA-576-R:122.179.158.23,West,Mumbai
02294447432_mh,VTA-U-409600-1024-NA-738-R,122.179.156.115,02294447432_mh:VTA-U-409600-1024-NA-738-R:122.179.156.115,West,Mumbai
02293864011_mh,VTA-U-409600-1024-NA-40-R,122.179.139.70,02293864011_mh:VTA-U-409600-1024-NA-40-R:122.179.139.70,West,Mumbai
07992414865_mh,VTA-U-409600-1024-NA-408-R,122.179.139.203,07992414865_mh:VTA-U-409600-1024-NA-408-R:122.179.139.203,West,MP
02093932641_mh,VTA-U-409600-1024-NA-64-R,122.179.137.67,02093932641_mh:VTA-U-409600-1024-NA-64-R:122.179.137.67,West,Mumbai
02292605317_mh,VTA-U-81922-512-NA-144-R,122.179.133.2,02292605317_mh:VTA-U-81922-512-NA-144-R:122.179.133.2,West,Mumbai
03394066227_dsl,VTA-U-409600-1024-NA-856-R,122.176.98.60,03394066227_dsl:VTA-U-409600-1024-NA-856-R:122.176.98.60,North,Kolkata
03396959106_dsl,VTA-U-409600-1024-NA-133-R,122.176.98.51,03396959106_dsl:VTA-U-409600-1024-NA-133-R:122.176.98.51,North,Kolkata
03391282441_dsl,VTA-U-409600-1024-NA-104-R,122.176.97.119,03391282441_dsl:VTA-U-409600-1024-NA-104-R:122.176.97.119,North,Kolkata
01197909145_dsl,VTA-U-409600-1024-NA-978-R,122.176.95.83,01197909145_dsl:VTA-U-409600-1024-NA-978-R:122.176.95.83,North,Delhi
01141547444_dsl,VTA-U-24576-1024-NA-923-R,122.176.91.100,01141547444_dsl:VTA-U-24576-1024-NA-923-R:122.176.91.100,North,Delhi
01145095478_dsl,VTA-U-409600-1024-NA-823-R,122.176.90.38,01145095478_dsl:VTA-U-409600-1024-NA-823-R:122.176.90.38,North,Delhi
01195097852_dsl,VTA-U-163841-1024-NA-600-E,122.176.90.174,01195097852_dsl:VTA-U-163841-1024-NA-600-E:122.176.90.174,North,Delhi
01145012536_dsl,VTA-U-163841-1024-NA-1145-R,122.176.89.3,01145012536_dsl:VTA-U-163841-1024-NA-1145-R:122.176.89.3,North,Haryana
01182786299_dsl,VTA-U-163841-1024-NA-828-R,122.176.89.222,01182786299_dsl:VTA-U-163841-1024-NA-828-R:122.176.89.222,North,Delhi
012442070600_dsl,VTA-U-409600-1024-NA-320-R,122.176.89.126,012442070600_dsl:VTA-U-409600-1024-NA-320-R:122.176.89.126,North,Haryana
01296300750_dsl,VTA-U-409600-1024-NA-830-R,122.176.89.109,01296300750_dsl:VTA-U-409600-1024-NA-830-R:122.176.89.109,North,Haryana
01295106500,VTA-U-163841-1024-NA-1200-R,122.176.88.20,01295106500:VTA-U-163841-1024-NA-1200-R:122.176.88.20,North,Haryana
018439584645_dsl,VTA-U-20480-1024-NA-110-E,122.176.87.6,018439584645_dsl:VTA-U-20480-1024-NA-110-E:122.176.87.6,North,North - Haryana
01145539650_dsl,VTA-U-81922-1024-NA-744-R,122.176.86.147,01145539650_dsl:VTA-U-81922-1024-NA-744-R:122.176.86.147,North,Delhi
01204271477_dsl,VTA-U-409600-1024-NA-612-R,122.176.84.145,01204271477_dsl:VTA-U-409600-1024-NA-612-R:122.176.84.145,North,U.P West
01140554622_dsl,VTA-U-409600-1024-NA-1034-E,122.176.81.90,01140554622_dsl:VTA-U-409600-1024-NA-1034-E:122.176.81.90,North,Delhi
01147041470_dsl,VTA-U-409600-1024-NA-398-R,122.176.81.227,01147041470_dsl:VTA-U-409600-1024-NA-398-R:122.176.81.227,North,Delhi
01196757776_dsl,VTA-U-409600-1024-NA-729-R,122.176.80.87,01196757776_dsl:VTA-U-409600-1024-NA-729-R:122.176.80.87,North,Delhi
01196973135_dsl,VTA-U-409600-1024-NA-331-R,122.176.80.35,01196973135_dsl:VTA-U-409600-1024-NA-331-R:122.176.80.35,North,Delhi
01147036254_dsl,VTA-U-409600-1024-NA-1041-R,122.176.80.3,01147036254_dsl:VTA-U-409600-1024-NA-1041-R:122.176.80.3,North,Delhi
01194495440_dsl,VTA-U-409600-1024-NA-916-R,122.176.80.29,01194495440_dsl:VTA-U-409600-1024-NA-916-R:122.176.80.29,North,Delhi
01196961671_dsl,VTA-U-163841-1024-NA-490-R,122.176.80.252,01196961671_dsl:VTA-U-163841-1024-NA-490-R:122.176.80.252,North,Delhi
01192489293_dsl,VTA-U-409600-1024-NA-423-R,122.176.80.243,01192489293_dsl:VTA-U-409600-1024-NA-423-R:122.176.80.243,North,Delhi
01151420357,VTA-U-24576-1024-NA-965-R,122.176.80.228,01151420357:VTA-U-24576-1024-NA-965-R:122.176.80.228,North,Delhi
012041414833_dsl,VTA-U-409600-1024-NA-301-R,122.176.80.121,012041414833_dsl:VTA-U-409600-1024-NA-301-R:122.176.80.121,North,U.P West
012038201576_dsl,VTA-U-409600-1024-NA-907-R,122.176.80.117,012038201576_dsl:VTA-U-409600-1024-NA-907-R:122.176.80.117,North,U.P West
012028982684_dsl,VTA-U-409600-1024-NA-320-R,122.176.77.148,012028982684_dsl:VTA-U-409600-1024-NA-320-R:122.176.77.148,North,U.P West
056236611662_dsl,VTA-U-409600-1024-NA-490-R,122.176.77.113,056236611662_dsl:VTA-U-409600-1024-NA-490-R:122.176.77.113,North,North - UP West
01294076876_dsl,VTA-U-409600-1024-NA-1215-R,122.176.73.34,01294076876_dsl:VTA-U-409600-1024-NA-1215-R:122.176.73.34,North,Haryana
01145522717_dsl,VTA-U-409600-1024-NA-454-E,122.176.72.237,01145522717_dsl:VTA-U-409600-1024-NA-454-E:122.176.72.237,North,Delhi
05224074241_dsl,VTA-U-1024000-1024-NA-3413-R,122.176.71.82,05224074241_dsl:VTA-U-1024000-1024-NA-3413-R:122.176.71.82,North,UP East
052231715160_dsl,VTA-U-163841-1024-NA-385-R,122.176.71.65,052231715160_dsl:VTA-U-163841-1024-NA-385-R:122.176.71.65,North,UP East
012025671814_dsl,VTA-U-409600-1024-NA-1280-R,122.176.69.209,012025671814_dsl:VTA-U-409600-1024-NA-1280-R:122.176.69.209,North,U.P West
01204118376_dsl,VTA-U-81922-512-NA-50-R,122.176.69.179,01204118376_dsl:VTA-U-81922-512-NA-50-R:122.176.69.179,North,U.P West
01180583275_dsl,VTA-U-163841-1024-NA-943-E,122.176.64.163,01180583275_dsl:VTA-U-163841-1024-NA-943-E:122.176.64.163,North,Delhi
01191278167_dsl,VTA-U-163841-1024-NA-937-E,122.176.61.208,01191278167_dsl:VTA-U-163841-1024-NA-937-E:122.176.61.208,North,Delhi
